time,patchID,bWeightHuman,bWeightZoo,bWeightZootox,kappa
1,1,498,0,0,0.0246987951807229
1,2,496,0,0,0.0332661290322581
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,1,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,0,0,0
2,1,499,0,0,0.0246987951807229
2,2,496,0,0,0.0333331978407909
2,3,0,0,0,0
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
2,7,0,0,0,0
2,8,0,0,0,0
2,9,0,0,0,0
3,1,499,0,0,0.0246987951807229
3,2,495,0,0,0.0330976428239208
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
3,6,1,0,0,0.15
3,7,0,0,0,0
3,8,0,0,0,0
3,9,0,0,0,0
4,1,499,0,0,0.0246987951807229
4,2,495,0,0,0.0327941366521696
4,3,0,0,0,0
4,4,0,0,0,0
4,5,0,0,0,0
4,6,1,0,0,0.3
4,7,0,0,0,0
4,8,0,0,0,0
4,9,0,0,0,0
5,1,497,0,0,0.0247981867106252
5,2,495,0,0,0.0327935235083883
5,3,1,0,0,0
5,4,1,0,0,0
5,5,0,0,0,0
5,6,1,0,0,0.45
5,7,0,0,0,0
5,8,0,0,0,0
5,9,0,0,0,0
6,1,497,0,0,0.0244965758283916
6,2,493,0,0,0.0329265588712138
6,3,2,0,0,0
6,4,0,0,0,0
6,5,0,0,0,0
6,6,3,0,0,0.2
6,7,0,0,0,0
6,8,0,0,0,0
6,9,0,0,0,0
7,1,496,0,0,0.0242429366448153
7,2,493,0,0,0.0326225690849315
7,3,2,0,0,0
7,4,1,0,0,0
7,5,0,0,0,0
7,6,3,0,0,0.116666666666667
7,7,0,0,0,0
7,8,0,0,0,0
7,9,0,0,0,0
8,1,496,0,0,0.0242424252754936
8,2,494,0,0,0.0325559161317509
8,3,1,0,0,0
8,4,1,0,0,0
8,5,0,0,0,0
8,6,3,0,0,0.0888888888888889
8,7,0,0,0,0
8,8,0,0,0,0
8,9,0,0,0,0
9,1,494,0,0,0.0240369279863877
9,2,493,0,0,0.032621817274101
9,3,3,0,0,0
9,4,0,0,0,0
9,5,0,0,0,0
9,6,5,0,0,0.0777777777777778
9,7,0,0,0,0
9,8,0,0,0,0
9,9,0,0,0,0
10,1,495,0,0,0.0239879533898715
10,2,491,0,0,0.0324493316034096
10,3,4,0,0,0.0375
10,4,1,0,0,0
10,5,0,0,0,0
10,6,4,0,0,0.0569444444444444
10,7,0,0,0,0
10,8,0,0,0,0
10,9,0,0,0,0
11,1,495,0,0,0.0236848241482624
11,2,491,0,0,0.0324489803087646
11,3,4,0,0,0.046875
11,4,0,0,0,0
11,5,1,0,0,0
11,6,4,0,0,0.0517361111111111
11,7,0,0,0,0
11,8,0,0,0,0
11,9,0,0,0,0
12,1,493,0,0,0.0210419570469539
12,2,493,0,0,0.0301875232866304
12,3,3,0,0,0.015625
12,4,1,0,0,0
12,5,0,0,0,0
12,6,5,0,0,0.0403472222222222
12,7,0,0,0,0
12,8,0,0,0,0
12,9,0,0,0,0
13,1,494,0,0,0.0209940120587995
13,2,494,0,0,0.029818193366977
13,3,3,0,0,0.00520833333333333
13,4,1,0,0,0
13,5,0,0,0,0
13,6,3,0,0,0.0634490740740741
13,7,0,0,0,0
13,8,0,0,0,0
13,9,0,0,0,0
14,1,497,0,0,0.0208671911711445
14,2,493,0,0,0.0298779273699128
14,3,3,0,0,0.00173611111111111
14,4,0,0,0,0
14,5,0,0,0,0
14,6,2,0,0,0.031724537037037
14,7,0,0,0,0
14,8,0,0,0,0
14,9,0,0,0,0
15,1,497,0,0,0.0208669359983323
15,2,493,0,0,0.0301823081691074
15,3,3,0,0,0.000578703703703704
15,4,0,0,0,0
15,5,0,0,0,0
15,6,2,0,0,0.0158622685185185
15,7,0,0,0,0
15,8,0,0,0,0
15,9,0,0,0,0
16,1,497,0,0,0.020565124619715
16,2,494,0,0,0.0301218265347553
16,3,2,0,0,0.000289351851851852
16,4,0,0,0,0
16,5,0,0,0,0
16,6,2,0,0,0.00793113425925926
16,7,0,0,0,0
16,8,0,0,0,0
16,9,0,0,0,0
17,1,496,0,0,0.0206059780738301
17,2,494,0,0,0.0298180603776008
17,3,3,0,0,9.64506172839506e-05
17,4,0,0,0,0
17,5,0,0,0,0
17,6,2,0,0,0.00396556712962963
17,7,0,0,0,0
17,8,0,0,0,0
17,9,0,0,0,0
18,1,497,0,0,0.0205645995534685
18,2,492,0,0,0.0299386545942635
18,3,3,0,0,3.21502057613169e-05
18,4,0,0,0,0
18,5,1,0,0,0
18,6,2,0,0,0.00198278356481481
18,7,0,0,0,0
18,8,0,0,0,0
18,9,0,0,0,0
19,1,495,0,0,0.0206476052516232
19,2,491,0,0,0.0299998750602735
19,3,3,0,0,1.07167352537723e-05
19,4,2,0,0,0
19,5,1,0,0,0
19,6,3,0,0,0.000660927854938272
19,7,0,0,0,0
19,8,0,0,0,0
19,9,0,0,0,0
20,1,495,0,0,0.020344742636872
20,2,492,0,0,0.0302439021850819
20,3,3,0,0,3.57224508459076e-06
20,4,2,0,0,0
20,5,1,0,0,0
20,6,2,0,0,0.000330463927469136
20,7,0,0,0,0
20,8,0,0,0,0
20,9,0,0,0,0
21,1,496,0,0,0.0203031144004776
21,2,493,0,0,0.0301830505115317
21,3,1,0,0,3.57224508459076e-06
21,4,1,0,0,0
21,5,1,0,0,0
21,6,2,0,0,0.000165231963734568
21,7,0,0,0,0
21,8,1,0,0,0
21,9,0,0,0,0
22,1,494,0,0,0.0206888727012156
22,2,492,0,0,0.0296345183953487
22,3,4,0,0,0.0375008930612711
22,4,1,0,0,0
22,5,1,0,0,0
22,6,2,0,0,8.2615981867284e-05
22,7,0,0,0,0
22,8,1,0,0,0
22,9,0,0,0,0
23,1,497,0,0,0.0205647663434632
23,2,494,0,0,0.0295134301991809
23,3,2,0,0,0.0937504465306356
23,4,0,0,0,0
23,5,0,0,0,0
23,6,2,0,0,4.1307990933642e-05
23,7,0,0,0,0
23,8,0,0,0,0
23,9,0,0,0,0
24,1,495,0,0,0.0206476055885727
24,2,494,0,0,0.0295131850813749
24,3,3,0,0,0.0812501488435452
24,4,0,0,0,0
24,5,0,0,0,0
24,6,3,0,0,0.0500137693303112
24,7,0,0,0,0
24,8,0,0,0,0
24,9,0,0,0,0
25,1,494,0,0,0.0206895700517988
25,2,493,0,0,0.0289645297871834
25,3,4,0,0,0.0953125372108863
25,4,0,0,0,0
25,5,0,0,0,0
25,6,4,0,0,0.0500034423325778
25,7,0,0,0,0
25,8,0,0,0,0
25,9,0,0,0,0
26,1,493,0,0,0.0210358814808353
26,2,493,0,0,0.0292676765310085
26,3,6,0,0,0.0658854228684811
26,4,0,0,0,0
26,5,0,0,0,0
26,6,3,0,0,0.0666678141108593
26,7,0,0,0,0
26,8,0,0,0,0
26,9,0,0,0,0
27,1,495,0,0,0.0209515876393552
27,2,491,0,0,0.029082011561163
27,3,5,0,0,0.0731770845736962
27,4,1,0,0,0
27,5,0,0,0,0
27,6,3,0,0,0.0722226047036198
27,7,0,0,0,0
27,8,0,0,0,0
27,9,0,0,0,0
28,1,495,0,0,0.0209514173487664
28,2,493,0,0,0.0295721744656413
28,3,4,0,0,0.055794271143424
28,4,0,0,0,0
28,5,0,0,0,0
28,6,3,0,0,0.0740742015678733
